strategy,fold,MAE,RMSE,R2,bias,pred_actual_mean_ratio,scale,year1_scale,year2_scale,window,fold_multiplier,w
horizon_scale,C,1103847.0395429616,1436434.5771170205,0.3370274504300096,-1035293.4991133455,0.6746567579430475,,0.75,0.75,,,
horizon_scale,D,1111744.4841643835,1389531.872528644,0.310832552033913,-1063986.4804931507,0.6680013222847828,,0.75,0.75,,,
horizon_scale,C,1063287.3993135283,1383421.4089161828,0.3850598776963775,-984240.583189214,0.6907002482165236,,0.75,0.8,,,
horizon_scale,D,1111744.4841643835,1389531.872528644,0.310832552033913,-1063986.4804931507,0.6680013222847828,,0.75,0.8,,,
horizon_scale,C,1026239.0300310787,1336328.7431018448,0.4262133164773396,-933187.6672650822,0.7067437384899997,,0.75,0.85,,,
horizon_scale,D,1111744.4841643835,1389531.872528644,0.310832552033913,-1063986.4804931507,0.6680013222847828,,0.75,0.85,,,
horizon_scale,C,993295.2657943327,1295802.2377334102,0.4604877667728964,-882134.7513409506,0.7227872287634759,,0.75,0.9,,,
horizon_scale,D,1111744.4841643835,1389531.872528644,0.310832552033913,-1063986.4804931507,0.6680013222847828,,0.75,0.9,,,
horizon_scale,C,967020.7048738574,1262474.3893132675,0.48788322858304733,-831081.8354168191,0.7388307190369519,,0.75,0.95,,,
horizon_scale,D,1111744.4841643835,1389531.872528644,0.310832552033913,-1063986.4804931507,0.6680013222847828,,0.75,0.95,,,
horizon_scale,C,945849.1514488116,1236927.218033114,0.5083997019077928,-780028.9194926874,0.7548742093104279,,0.75,1.0,,,
horizon_scale,D,1111744.4841643835,1389531.872528644,0.310832552033913,-1063986.4804931507,0.6680013222847828,,0.75,1.0,,,
horizon_scale,C,1084937.3782833638,1442709.6154913339,0.33122243140925245,-994275.0516691043,0.6875468945922983,,0.8,0.7,,,
horizon_scale,D,995161.6679506848,1268149.2330568722,0.42597810663895064,-921266.1578794519,0.7125347437704352,,0.8,0.7,,,
horizon_scale,C,1039963.6672093236,1382212.8346456627,0.38613384716102606,-943222.1357449725,0.7035903848657744,,0.8,0.75,,,
horizon_scale,D,995161.6679506848,1268149.2330568722,0.42597810663895064,-921266.1578794519,0.7125347437704352,,0.8,0.75,,,
horizon_scale,C,999404.0269798901,1327035.350158194,0.434166274427394,-892169.2198208409,0.7196338751392506,,0.8,0.8,,,
